"gene_id","gene_name","bmp4_rep1","bmp4_rep2","bmp4_rep3","bmp4_tgfb2_rep1","bmp4_tgfb2_rep2","bmp4_tgfb2_rep3","nontreated_rep1","nontreated_rep2","nontreated_rep3","tgfb2_rep1","tgfb2_rep2","tgfb2_rep3"
"ENSMUSG00000000001.4","Gnai3",8488.531,8900,8693.97,10078.33,8329.017,8323.985,8755.059,9506.446,9808.839,12264.224,7997.076,9747.166
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",1800,1676,1447.855,365,1054.05,1388,1783.204,1713.023,1712.832,710,1635,1537.945
"ENSMUSG00000000031.16","H19",280,1049.378,455,341,784,466.07,283,839,428,304.019,880.001,571
"ENSMUSG00000000037.17","Scml2",20,21,26,3,5,13,16,16,33,2,3,17
"ENSMUSG00000000049.11","Apoh",10,8,26,22,10,25,3,7,11,13,15,11
"ENSMUSG00000000056.7","Narf",6854.983,4259.938,4439,9270.322,6694.006,6246.46,6222.088,5257.46,4583.705,10543.3,6442,7189.214
"ENSMUSG00000000058.6","Cav2",3637,3067.509,3822.261,4230,2984,3171,3948.78,2672.499,3476.681,6122,3635,4089.08
"ENSMUSG00000000078.7","Klf6",14686.667,7625.121,9933.14,16061.792,8940,11550.181,10983.685,6228.629,7261.523,19132.728,8890,13078.201
"ENSMUSG00000000085.16","Scmh1",1450.998,875.319,1159,1205.001,1063,1335.109,1395,917.054,1245.999,2121.999,1350.48,1809.479
"ENSMUSG00000000088.7","Cox5a",3571.856,2508.905,2927.822,2996.715,2216.971,3083.95,2708.207,3224.87,3129.941,3507.98,2464.936,3087.95
"ENSMUSG00000000093.6","Tbx2",6,5,2,5,6,8,3,2,2,3,2,6
"ENSMUSG00000000094.12","Tbx4",2,0,0,1,0,1,1,3,1,2,3,1
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",8,4,4,21,3,0,17,3,2,4,4,12
"ENSMUSG00000000125.5","Wnt3",0,0,0,3,0,0,0,0,0,0,1,0
"ENSMUSG00000000126.11","Wnt9a",334,201,274,1717,820.34,992,157,47,76,1872,793,1178.655
"ENSMUSG00000000127.15","Fer",824,841,891,660.04,731,741,975,1046,907,800,784.999,952.013
"ENSMUSG00000000131.15","Xpo6",3037,3610.703,3495.221,3421,3120.001,3246.191,3557.653,4036.323,4175.6,3704.121,3046.001,3633.724
"ENSMUSG00000000134.17","Tfe3",2086.002,1679.001,1748,2462.348,2029,1910.763,1933.554,1860.962,1856,2801,2012.001,2413.999
"ENSMUSG00000000142.15","Axin2",2424.999,2393.098,1476,1938.942,2245.99,759,1100,1286.284,1158,1267,1258,835
"ENSMUSG00000000148.17","Brat1",1003,603,694,1137.001,669,769,922,906.028,701.001,1249,652,880
"ENSMUSG00000000149.10","Gna12",3042.72,2728,2710,3198,3121.647,3787.496,3214.726,2682.111,2590.011,4588.627,3218.843,4419.304
"ENSMUSG00000000154.16","Slc22a18",147,111,161,167,49,80,159,95,166.095,214,158,152
"ENSMUSG00000000157.16","Itgb2l",0,1,1,0,0,0,3,0,0,0,5,2
"ENSMUSG00000000159.16","Igsf5",817,553,428,643,554,401.999,898.558,680.579,521,740,548.156,417.737
"ENSMUSG00000000167.14","Pih1d2",119,43.627,39,73,23,35,48.142,50,32,66.153,53,23
"ENSMUSG00000000168.9","Dlat",2945,2448,2407.003,3176.699,2089,2577,3596.749,3091,3123.977,3539.695,2062.032,2876
"ENSMUSG00000000171.5","Sdhd",3535,2760,3067.242,2956,2053,2704,3287.86,3508.09,3335.428,3359,2672.623,3105
"ENSMUSG00000000182.9","Fgf23",0,0,0,2,0,0,0,0,1,0,0,0
"ENSMUSG00000000183.6","Fgf6",0,3,0,0,0,1,0,0,0,1,0,0
"ENSMUSG00000000184.12","Ccnd2",27,72,54,30,38.897,42,28,54,36,30,54.565,36
"ENSMUSG00000000194.13","Gpr107",3856,2926.795,2635.31,3650.366,3027,2581,3568,2732.076,2423,4037.02,2825.029,3239.497
"ENSMUSG00000000197.8","Nalcn",12,11,16,35,14,23,10,3,10,63,21,30
"ENSMUSG00000000202.9","Btbd17",0,8,4,4,4,2,0,5,1,0,11,10
"ENSMUSG00000000204.16","Slfn4",5.001,0,0,0,0,0,1,1,2,0,3,0
"ENSMUSG00000000214.11","Th",1,3,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215.11","Ins2",0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000000216.8","Scnn1g",46,9,2,2,1,2,14,11,11,4,2,0
"ENSMUSG00000000223.13","Drp2",9,43,30,10,41,24,29,48,46,27,43,42
"ENSMUSG00000000244.17","Tspan32",2,4,0,1,1,5,3,2,8,2,11,6.001
"ENSMUSG00000000247.11","Lhx2",23,2,6,0,0,14,0,0,0,0,2,8
"ENSMUSG00000000248.16","Clec2g",0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000000253.13","Gmpr",29,26,52,32,39,76,23,18,44,42,46,85
"ENSMUSG00000000263.15","Glra1",0,0,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000000266.11","Mid2",2760.013,2683,2233.166,1905,1917.309,1808,3710.002,2481.542,2586,2059.485,1955.998,1941.957
"ENSMUSG00000000275.16","Trim25",3969,3281,3622.252,2230,1913,2065.318,8486.632,5595.06,4905.005,3102.013,2184,2905.449
"ENSMUSG00000000276.11","Dgke",511,384,370,431,351,273,599,566,498.001,554,328,456.011
"ENSMUSG00000000278.10","Scpep1",2655.362,1118.004,1382,2209.005,969,1365,2280,942,1123,2864.227,1489,1677
"ENSMUSG00000000282.12","Mnt",1807,1158,1095,2765,1494.005,1498,1834.016,1117,1007,2728.702,1439,1865
"ENSMUSG00000000290.13","Itgb2",6,3,4,37,11,13,32,11,6,54,25,63
"ENSMUSG00000000295.13","Hddc2",554,514,641,471,357,527,579,1020,816,643,493,465
"ENSMUSG00000000296.8","Tpd52l1",1582.546,1030.294,900,488,364,641.001,2962.793,2163.063,1410.909,1014.001,614.994,786.999
"ENSMUSG00000000301.16","Pemt",98.999,51.001,82,92,48.809,51,80,106,78,120.006,54,70
"ENSMUSG00000000303.12","Cdh1",20707.236,18745.534,18684.727,15210.366,12763.2,12426.997,22643.789,20934.025,20575.674,19827.035,15983.12,17618.55
"ENSMUSG00000000305.12","Cdh4",5,9,3,3,2,11,0,1,3.999,1,2,10
"ENSMUSG00000000308.14","Ckmt1",3306.193,1350.205,704,227.342,175,149,4293.018,3215.988,2109,220,190,228
